epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,13301.2,0.90253,0.6201,0.01365,0.86552,0.74479,0.8213,0.5734,1.06722,0.8781,0.02249,0.0003236,0.0003236,0.0003236
129,13498.2,0.90158,0.61395,0.01378,0.82123,0.7526,0.8138,0.56626,1.07839,0.90283,0.02297,0.0003104,0.0003104,0.0003104
130,13690,0.91143,0.59823,0.01355,0.83531,0.75521,0.81103,0.56167,1.07479,0.90612,0.02281,0.0002972,0.0002972,0.0002972
131,13878.7,0.88863,0.60681,0.01346,0.84319,0.76562,0.81331,0.56325,1.09009,0.89099,0.02305,0.000284,0.000284,0.000284
132,14068.7,0.90357,0.60699,0.01364,0.80625,0.77083,0.80743,0.55877,1.07296,0.92647,0.02281,0.0002708,0.0002708,0.0002708
133,14257.2,0.90206,0.62662,0.01363,0.83432,0.76562,0.81311,0.56561,1.07348,0.89009,0.02272,0.0002576,0.0002576,0.0002576
134,14443.3,0.91961,0.61575,0.01393,0.8386,0.76562,0.81651,0.56748,1.08142,0.87837,0.02261,0.0002444,0.0002444,0.0002444
135,14630,0.89892,0.61566,0.01326,0.83258,0.77083,0.81285,0.56678,1.06308,0.9015,0.02212,0.0002312,0.0002312,0.0002312
136,14814.4,0.88009,0.57774,0.0134,0.84504,0.77604,0.81907,0.57159,1.07594,0.88078,0.02268,0.000218,0.000218,0.000218
137,15003,0.89393,0.59682,0.01329,0.81026,0.76562,0.80828,0.56432,1.08559,0.9007,0.0229,0.0002048,0.0002048,0.0002048
138,15191.2,0.89433,0.5872,0.01368,0.81039,0.76562,0.81381,0.56716,1.07586,0.89238,0.02251,0.0001916,0.0001916,0.0001916
139,15377,0.88566,0.58351,0.01338,0.80224,0.78176,0.81142,0.56892,1.08644,0.86368,0.02284,0.0001784,0.0001784,0.0001784
140,15568.9,0.88124,0.59296,0.01347,0.81833,0.73958,0.8013,0.55868,1.08692,0.876,0.0229,0.0001652,0.0001652,0.0001652
141,15755.7,0.77713,0.39853,0.01478,0.80437,0.75781,0.80712,0.55476,1.10357,0.86852,0.02337,0.000152,0.000152,0.000152
142,15840.2,0.75821,0.35597,0.01459,0.84588,0.72917,0.80962,0.56063,1.08983,0.88536,0.02296,0.0001388,0.0001388,0.0001388
143,15926.8,0.7596,0.3659,0.01448,0.85673,0.73698,0.81403,0.56825,1.08243,0.87268,0.02279,0.0001256,0.0001256,0.0001256
144,16014,0.75855,0.36198,0.01428,0.81288,0.75799,0.81578,0.57022,1.07605,0.88847,0.02267,0.0001124,0.0001124,0.0001124
145,16099.7,0.74375,0.3575,0.01385,0.8083,0.75,0.81121,0.56521,1.08754,0.87563,0.02301,9.92e-05,9.92e-05,9.92e-05
146,16187.1,0.73686,0.35581,0.01383,0.82843,0.75446,0.80842,0.56314,1.08842,0.8791,0.02289,8.6e-05,8.6e-05,8.6e-05
147,16274.3,0.74604,0.35603,0.01394,0.80595,0.74479,0.80705,0.56584,1.08594,0.87478,0.02274,7.28e-05,7.28e-05,7.28e-05
148,16360,0.74174,0.34558,0.01373,0.81469,0.74479,0.81155,0.56784,1.07987,0.8755,0.02264,5.96e-05,5.96e-05,5.96e-05
149,16448,0.73917,0.35032,0.01363,0.82087,0.73987,0.80769,0.56671,1.08087,0.88755,0.02273,4.64e-05,4.64e-05,4.64e-05
150,16534.9,0.74053,0.35712,0.01396,0.82476,0.73536,0.80922,0.56869,1.07694,0.89015,0.02268,3.32e-05,3.32e-05,3.32e-05
